date,nGenomeCopies,nPopInCatchment,wwDataIsValid,nCases,casesDataIsValid,t
2022-05-18,8.91677707224989e6,3953390,true,8031,true,188
2022-05-19,2.54312668136437e7,619303,true,7870,true,189
2022-05-20,1.09895179517075e8,401694,true,7592,true,190
2022-05-21,NaN,,false,7071,true,191
2022-05-22,1.66180793770492e7,305000,true,7429,true,192
2022-05-23,1.0257743418333e7,2396354,true,7590,true,193
2022-05-24,1.17427392968178e7,1364497,true,7062,true,194
2022-05-25,8.88224534182789e6,3590026,true,6724,true,195
2022-05-26,1.00994200082486e7,834685,true,6967,true,196
2022-05-27,2.46229811389752e7,393394,true,7226,true,197
2022-05-28,NaN,,false,6815,true,198
2022-05-29,1.1342441e7,240000,true,7237,true,199
2022-05-30,9.76610160196101e6,2463932,true,7617,true,200
2022-05-31,6.59024265490833e6,1427328,true,7127,true,201
2022-06-01,6.96556200718334e6,3632992,true,6977,true,202
2022-06-02,8.20173892568154e6,637271,true,6297,true,203
2022-06-03,7.40712502206831e6,429394,true,7199,true,204
2022-06-04,NaN,,false,6229,true,205
2022-06-05,NaN,,false,5503,true,206
2022-06-06,1.22663894507621e7,1607500,true,5230,true,207
2022-06-07,7.64493887996816e6,1583080,true,6173,true,208
2022-06-08,4.71570854511383e6,3772546,true,7065,true,209
2022-06-09,7.63904414702822e6,1013098,true,6393,true,210
2022-06-10,8.08006790019745e6,557100,true,5906,true,211
2022-06-11,NaN,,false,6279,true,212
2022-06-12,1.7393164e7,240000,true,5584,true,213
2022-06-13,6.84549629226206e6,2456364,true,5619,true,214
2022-06-14,6.50541732838742e6,1401628,true,4888,true,215
2022-06-15,7.62096009104981e6,3507289,true,4891,true,216
2022-06-16,6.36083087455328e6,921443,true,4972,true,217
2022-06-17,1.52266286839378e7,386000,true,5067,true,218
2022-06-18,NaN,,false,4625,true,219
2022-06-19,198542.0,65000,true,5065,true,220
2022-06-20,9.53373239689741e6,3659394,true,5141,true,221
2022-06-21,5.93918886738755e6,939497,true,4848,true,222
2022-06-22,8.26228721757714e6,3165043,true,4757,true,223
2022-06-23,9.52246471814404e6,144400,true,4928,true,224
2022-06-24,1.71909967046632e7,386000,true,4439,true,225
2022-06-25,NaN,,false,6337,true,226
2022-06-26,NaN,,false,6974,true,227
2022-06-27,1.15075350022848e7,1591413,true,7326,true,228
2022-06-28,9.34664574137024e6,1330976,true,6840,true,229
2022-06-29,1.46318415577993e7,3673823,true,6742,true,230
2022-06-30,8.9326257368048e6,757681,true,7242,true,231
2022-07-01,1.44366974766839e7,386000,true,7308,true,232
2022-07-02,NaN,,false,7527,true,233
2022-07-03,NaN,,false,7902,true,234
2022-07-04,1.53528261693036e7,3636734,true,7983,true,235
2022-07-05,3.93573172056403e7,1454078,true,8954,true,236
2022-07-06,3.88699567865259e7,1384772,true,9788,true,237
2022-07-07,3.2754894828006e7,823360,true,9640,true,238
2022-07-08,1.05902700272021e8,386000,true,10228,true,239
2022-07-09,NaN,,false,10667,true,240
2022-07-10,NaN,,false,10429,true,241
2022-07-11,3.33834232412016e7,2518445,true,9620,true,242
2022-07-12,8.5087916522375e6,1097476,true,9987,true,243
2022-07-13,1.40019659144633e7,3889440,true,10482,true,244
2022-07-14,9.34321935023057e6,669853,true,10879,true,245
2022-07-15,3.0847068528169e7,426000,true,10197,true,246
2022-07-16,NaN,,false,9323,true,247
2022-07-17,3.671393e6,65000,true,9248,true,248
2022-07-18,1.54452866321218e7,1201664,true,8730,true,249
2022-07-19,1.35974208094757e7,2652727,true,9055,true,250
2022-07-20,2.98255667392544e7,1454759,true,9254,true,251
2022-07-21,1.10815801329639e7,1886964,true,9126,true,252
2022-07-22,6.68253074485597e6,388800,true,8631,true,253
2022-07-23,NaN,,false,8413,true,254
2022-07-24,NaN,,false,8423,true,255
2022-07-25,3.75362539555835e7,2523164,true,7859,true,256
2022-07-26,1.25322784590548e7,1060137,true,7739,true,257
2022-07-27,1.16361248509985e7,3992940,true,7098,true,258
2022-07-28,1.06440871294138e7,591900,true,7971,true,259
2022-07-29,1.482842748757e7,393283,true,6923,true,260
2022-07-30,NaN,,false,6445,true,261
2022-07-31,NaN,,false,6399,true,262
2022-08-01,9.32953073335782e6,2711664,true,5978,true,263
2022-08-02,1.0454078364601e7,1075178,true,5685,true,264
2022-08-03,1.44659046285904e7,2680523,true,5674,true,265
2022-08-04,NaN,712179,false,5543,true,266
2022-08-05,1.21345707746114e7,386000,true,5239,true,267
2022-08-06,NaN,,false,5009,true,268
2022-08-07,NaN,,false,4863,true,269
2022-08-08,1.32752448086032e7,2487554,true,4964,true,270
2022-08-09,7.0829232347416e6,1208908,true,4579,true,271
2022-08-10,8.4466392638294e6,2675062,true,4479,true,272
2022-08-11,1.281580379717e7,723611,true,4314,true,273
2022-08-12,4.32618861143289e6,397100,true,3982,true,274
2022-08-13,NaN,,false,3996,true,275
2022-08-14,4.011126e6,65000,true,4103,true,276
2022-08-15,1.05712415525491e7,1467200,true,4038,true,277
2022-08-16,8.21702900223383e6,1322842,true,3954,true,278
2022-08-17,7.03253416055084e6,2239982,true,4137,true,279
2022-08-18,6.53478158411046e6,914690,true,3925,true,280
2022-08-19,3.06513248251029e6,388800,true,3652,true,281
2022-08-20,NaN,,false,3203,true,282
2022-08-21,NaN,,false,3275,true,283
2022-08-22,6.01626994348741e6,2679633,true,3101,true,284
2022-08-23,4.91810596500176e6,1048367,true,2783,true,285
2022-08-24,5.11781004027959e6,2587663,true,2595,true,286
2022-08-25,4.720688221988e6,643751,true,2501,true,287
2022-08-26,2.3665444507772e6,386000,true,2431,true,288
2022-08-27,NaN,,false,2010,true,289
2022-08-28,NaN,,false,2033,true,290
2022-08-29,3.8662634729631e6,1584834,true,2087,true,291
2022-08-30,4.07642550566412e6,2546380,true,1988,true,292
2022-08-31,3.66395069093522e6,1160789,true,1965,true,293
2022-09-01,4.09529709620658e6,1892251,true,1905,true,294
2022-09-02,3.41513663989637e6,386000,true,1824,true,295
2022-09-03,NaN,,false,1586,true,296
2022-09-04,NaN,,false,1601,true,297
2022-09-05,5.59289826271061e6,3732609,true,1735,true,298
2022-09-06,2.90669658178514e6,1460412,true,1603,true,299
2022-09-07,3.01734724579338e6,3547382,true,1554,true,300
2022-09-08,2.76663341520252e6,742811,true,1560,true,301
2022-09-09,2.31927987046632e6,386000,true,1567,true,302
2022-09-10,NaN,,false,1385,true,303
2022-09-11,236681.0,22900,true,1427,true,304
2022-09-12,5.77999801094696e6,2114559,true,1641,true,305
2022-09-13,2.82899438151444e6,921357,true,1353,true,306
2022-09-14,4.20849421485266e6,3658228,true,1422,true,307
2022-09-15,2.46291901111341e6,918710,true,1335,true,308
2022-09-16,4.52930504773807e6,400100,true,1227,true,309
2022-09-17,1.795156e6,169000,true,1215,true,310
2022-09-18,2.854544e6,169000,true,1227,true,311
2022-09-19,3.1276233632746e6,2666443,true,1476,true,312
2022-09-20,2.63182739647805e6,1189796,true,1375,true,313
2022-09-21,3.05161752384454e6,2582163,true,1476,true,314
2022-09-22,3.9230640974821e6,723620,true,1552,true,315
2022-09-23,2.4664883550596e6,394300,true,1380,true,316
2022-09-24,170275.697784416,8034,true,1254,true,317
2022-09-25,NaN,,false,1145,true,318
2022-09-26,2.49833388184838e6,1655500,true,1020,true,319
2022-09-27,4.22720447344083e6,1518120,true,1644,true,320
2022-09-28,3.77071620858106e6,3298147,true,1487,true,321
2022-09-29,3.78776522050032e6,1315150,true,1588,true,322
2022-09-30,NaN,,false,1548,true,323
2022-10-01,NaN,,false,1427,true,324
2022-10-02,NaN,,false,1574,true,325
2022-10-03,2.85914624903015e6,2100830,true,1461,true,326
2022-10-04,3.41346054396908e6,1520921,true,1508,true,327
2022-10-05,5.50896759302263e6,2455682,true,1500,true,328
2022-10-06,6.88081319273949e6,1003951,true,1649,true,329
2022-10-07,NaN,,false,1587,true,330
2022-10-08,NaN,,false,1747,true,331
2022-10-09,NaN,,false,1897,true,332
2022-10-10,4.94844563467753e6,2557264,true,1987,true,333
2022-10-11,4.7986959071684e6,1071327,true,1822,true,334
2022-10-12,3.57619015788338e6,2168113,true,1978,true,335
2022-10-13,1.11646287447346e7,1199579,true,2064,true,336
2022-10-14,NaN,,false,1964,true,337
2022-10-15,NaN,,false,2261,true,338
2022-10-16,6.25534206575342e6,1825000,true,2407,true,339
2022-10-17,4.99520973833456e6,1342684,true,2376,true,340
2022-10-18,3.27489951023617e6,1017666,true,2408,true,341
