date,nGenomeCopies,nPopInCatchment,wwDataIsValid,nCases,casesDataIsValid,t
2022-09-04,NaN,,false,1601,true,96
2022-09-05,5.59289826271061e6,3732609,true,1735,true,97
2022-09-06,2.90669658178514e6,1460412,true,1603,true,98
2022-09-07,3.01734724579338e6,3547382,true,1554,true,99
2022-09-08,2.76663341520252e6,742811,true,1560,true,100
2022-09-09,2.31927987046632e6,386000,true,1567,true,101
2022-09-10,NaN,,false,1385,true,102
2022-09-11,236681.0,22900,true,1427,true,103
2022-09-12,5.77999801094696e6,2114559,true,1641,true,104
2022-09-13,2.82899438151444e6,921357,true,1353,true,105
2022-09-14,4.20849421485266e6,3658228,true,1422,true,106
2022-09-15,2.46291901111341e6,918710,true,1335,true,107
2022-09-16,4.52930504773807e6,400100,true,1227,true,108
2022-09-17,1.795156e6,169000,true,1215,true,109
2022-09-18,2.854544e6,169000,true,1227,true,110
2022-09-19,3.1276233632746e6,2666443,true,1476,true,111
2022-09-20,2.63182739647805e6,1189796,true,1375,true,112
2022-09-21,3.05161752384454e6,2582163,true,1476,true,113
2022-09-22,3.9230640974821e6,723620,true,1552,true,114
2022-09-23,2.4664883550596e6,394300,true,1380,true,115
2022-09-24,170275.697784416,8034,true,1254,true,116
2022-09-25,NaN,,false,1145,true,117
2022-09-26,2.49833388184838e6,1655500,true,1020,true,118
2022-09-27,4.22720447344083e6,1518120,true,1644,true,119
2022-09-28,3.77071620858106e6,3298147,true,1487,true,120
2022-09-29,3.78776522050032e6,1315150,true,1588,true,121
2022-09-30,NaN,,false,1548,true,122
