mean,median,lower,upper,t,date,variable,predictive_lower,predictive_upper
6121.2914202428365,6114.292179540766,5269.690357037692,7038.693731750156,62,2022-08-01,Cases,5066.0,7289.0
5870.135089378262,5857.540873356193,5060.76633956571,6794.657465491144,63,2022-08-02,Cases,4861.0,7017.0
5677.463493132673,5661.210496398524,4901.443899811998,6560.757176897893,64,2022-08-03,Cases,4706.0,6792.0
5486.822894956956,5479.057925165963,4724.323756926122,6348.045862258198,65,2022-08-04,Cases,4534.0,6572.0
5296.336366944698,5286.47778857909,4539.986754021737,6119.850709691685,66,2022-08-05,Cases,4370.0,6334.0
4995.876866287578,4987.321824395955,4308.068542089625,5773.321650054136,67,2022-08-06,Cases,4134.0,5979.0
4851.422166178239,4839.154629342567,4176.844996748816,5619.198857448951,68,2022-08-07,Cases,4012.0,5807.024999999994
4748.219838594197,4740.670241497883,4053.1992530906427,5487.657522388168,69,2022-08-08,Cases,3907.0,5687.0
4609.037139664685,4605.010535721702,3915.5751096759213,5323.797591427409,70,2022-08-09,Cases,3781.0,5523.0
4488.807479742355,4486.821230572692,3820.099864173822,5201.058335675512,71,2022-08-10,Cases,3676.0,5385.0
4355.860376008473,4356.0945547394695,3697.1760085174446,5051.437725142519,72,2022-08-11,Cases,3562.0,5230.0
4227.39239514007,4227.022303118481,3588.4378673492565,4912.657738909364,73,2022-08-12,Cases,3455.0,5086.0
4097.6169442402415,4097.188262705617,3477.712321182029,4755.876729831672,74,2022-08-13,Cases,3355.0,4923.0
4048.8871656563483,4053.773498773359,3462.029639298106,4690.094596027969,75,2022-08-14,Cases,3329.0,4854.0
3973.5809325361097,3971.1296878123294,3417.35596094992,4563.599864858157,76,2022-08-15,Cases,3279.0,4744.0
3925.128999132021,3920.436299948031,3354.9249338094514,4509.704807158049,77,2022-08-16,Cases,3232.0,4682.0
3847.83578325392,3837.014598211015,3308.4725033021223,4402.033951222094,78,2022-08-17,Cases,3188.0,4581.0
3724.8066976390155,3712.5893759146725,3218.1985162832275,4268.440425677547,79,2022-08-18,Cases,3090.0,4439.0
3555.873132585082,3548.205301174231,3082.6945870143827,4093.326248549833,80,2022-08-19,Cases,2945.0,4250.0
3361.3726523613614,3349.6310711487504,2905.141480527619,3880.0136593256484,81,2022-08-20,Cases,2786.0,4019.0
3200.8332405903107,3190.8386118024086,2781.5455120475867,3690.9855655365736,82,2022-08-21,Cases,2657.0,3834.0
3029.3870675209137,3021.0934749885805,2617.5587119146326,3503.9565184087355,83,2022-08-22,Cases,2505.0,3629.0
2843.372270094768,2836.8064979223764,2444.0870084129533,3285.694728010954,84,2022-08-23,Cases,2343.0,3407.0
2664.7091989412324,2658.341210896686,2296.402683045005,3076.84907436824,85,2022-08-24,Cases,2198.975,3198.0
2506.5536363799556,2500.0841465183676,2156.787738862071,2891.134419591029,86,2022-08-25,Cases,2066.0,3004.0
2351.045243823224,2347.4771863895708,2012.336370264944,2731.230306277971,87,2022-08-26,Cases,1926.0,2832.0
2192.310114461827,2185.2916946183577,1850.9169415737101,2571.903106627637,88,2022-08-27,Cases,1784.0,2667.024999999994
2093.167062134127,2099.649082619806,1767.9044572059995,2382.570707783061,89,2022-08-28,Cases,1712.0,2482.0
2019.858282159021,2002.4543764375085,1743.3992648439594,2303.392524700769,90,2022-08-29,Cases,1670.975,2412.0
1955.7669160241805,1904.126193509275,1698.1548937464318,2271.5674145801036,91,2022-08-30,Cases,1622.0,2380.0
1881.392894556219,1821.030946584132,1663.1169045481006,2240.246454346442,92,2022-08-31,Cases,1568.0,2330.0
1834.5126444970185,1798.479935024901,1643.440913793729,2139.9134215657714,93,2022-09-01,Cases,1551.0,2220.0
1758.121203051806,1734.0959811238076,1618.0932238497974,1961.8487641624904,94,2022-09-02,Cases,1508.0,2061.0
1666.3389724549675,1625.5612425626036,1528.0971931935783,1928.8616776523206,95,2022-09-03,Cases,1418.0,2012.0
1649.5257354742384,1627.010756445446,1521.02395728038,1863.2482877711175,96,2022-09-04,Cases,1421.0,1944.0
1627.8773279509724,1613.1609312258236,1507.8875941539268,1811.8168213893778,97,2022-09-05,Cases,1408.0,1893.0
1615.5584001547095,1609.4348923092043,1518.4029125485172,1745.8378968587783,98,2022-09-06,Cases,1410.0,1845.0
1596.257387826971,1614.836520033556,1475.3345944404136,1665.6482103321666,99,2022-09-07,Cases,1382.0,1813.0
1544.781362272487,1543.0552824653828,1485.118263762367,1596.615377092846,100,2022-09-08,Cases,1359.0,1744.0
1512.6979625566933,1502.4854149387697,1453.4913912557677,1585.5628764895143,101,2022-09-09,Cases,1329.0,1712.0
1443.260651027331,1397.929215370163,1388.112289889329,1564.9376376975254,102,2022-09-10,Cases,1248.0,1672.0
1466.1448414632082,1461.9017297601245,1393.151830362188,1546.0073660834596,103,2022-09-11,Cases,1285.0,1656.0
1460.3910484190694,1437.4816773321077,1409.7003245615185,1547.1539768447474,104,2022-09-12,Cases,1279.0,1661.0
1367.9669635747289,1321.5371828676539,1320.673141099018,1470.8943383516776,105,2022-09-13,Cases,1183.0,1585.0
1354.5587513732685,1336.6082618692185,1328.9023366260215,1439.8487648610026,106,2022-09-14,Cases,1190.0,1534.0
1309.648984797693,1281.3563193502619,1281.1609603962195,1381.2204722126367,107,2022-09-15,Cases,1144.0,1494.0
1264.207171737261,1223.6436670750393,1213.0098816810507,1414.372101009721,108,2022-09-16,Cases,1092.0,1477.0
1266.3216060602433,1258.5144856006198,1221.6029839196663,1380.1119786220959,109,2022-09-17,Cases,1111.0,1440.0
1273.96973110562,1249.3095644895618,1249.3006137355621,1401.677807081835,110,2022-09-18,Cases,1113.0,1462.0
1335.4261044214409,1339.4146706015824,1275.5528652073103,1438.7681829845121,111,2022-09-19,Cases,1172.0,1512.0
1348.0184941644734,1344.1376309225243,1301.5189770649986,1424.1339169176752,112,2022-09-20,Cases,1185.0,1524.0
1383.2589778253698,1393.210172027746,1338.2880701327288,1418.905414501276,113,2022-09-21,Cases,1218.0,1559.0
1377.5839731867545,1375.0417768260031,1310.68793809507,1418.8223740175624,114,2022-09-22,Cases,1211.0,1555.0
1366.4934771282838,1393.1821114807124,1275.520050072483,1393.1821114807124,115,2022-09-23,Cases,1192.0,1549.0
1319.3071472783893,1333.5412192791018,1236.5250820695733,1333.5412192791018,116,2022-09-24,Cases,1155.0,1490.0
1275.565834267622,1291.5557579180816,1202.5321657104016,1302.2110328900894,117,2022-09-25,Cases,1116.0,1441.0
1298.4974011768502,1325.3365039818323,1241.3583977344736,1325.3365039818323,118,2022-09-26,Cases,1132.0,1473.0
1391.7769239069867,1415.1348528746742,1323.0254636842214,1415.1348528746742,119,2022-09-27,Cases,1218.0,1573.0
1449.0541007052332,1449.6560709586606,1371.829517692551,1521.0497214462875,120,2022-09-28,Cases,1266.0,1644.0
1500.1466288975257,1500.1800215142166,1412.0776938664485,1590.866262140426,121,2022-09-29,Cases,1307.0,1705.0249999999942
1533.5172174315744,1533.0085064316486,1420.712519467155,1650.4929005985903,122,2022-09-30,Cases,1327.0,1757.0
1.0,1.0,1.0,1.0,1,2022-06-01,Wastewater,0.3141074014458004,2.078964086498124
1.0,1.0,1.0,1.0,2,2022-06-02,Wastewater,0.3161145538857837,2.065027561902496
1.0,1.0,1.0,1.0,3,2022-06-03,Wastewater,0.3124589384937139,2.0796647214945327
1.0,1.0,1.0,1.0,4,2022-06-04,Wastewater,0.3150522420216235,2.0667897297403783
1.0,1.0,1.0,1.0,5,2022-06-05,Wastewater,0.31633512284379667,2.0772906713747132
1.0,1.0,1.0,1.0,6,2022-06-06,Wastewater,0.3169396847959679,2.062674117790082
1.0,1.0,1.0,1.0,7,2022-06-07,Wastewater,0.31393693385892035,2.0706348458103974
1.0,1.0,1.0,1.0,8,2022-06-08,Wastewater,0.3102778706164127,2.067249565633599
1.0,1.0,1.0,1.0,9,2022-06-09,Wastewater,0.3148187955737702,2.0687815496408586
1.0,1.0,1.0,1.0,10,2022-06-10,Wastewater,0.31258292701099055,2.0769903028507533
1.0,1.0,1.0,1.0,11,2022-06-11,Wastewater,0.3142596193487165,2.071591428389175
1.0,1.0,1.0,1.0,12,2022-06-12,Wastewater,0.3166106035345598,2.0765314300089237
1.0,1.0,1.0,1.0,13,2022-06-13,Wastewater,0.31414372179835987,2.071431657114774
1.0,1.0,1.0,1.0,14,2022-06-14,Wastewater,0.3147140206467816,2.07442752963816
1.0,1.0,1.0,1.0,15,2022-06-15,Wastewater,0.31457329043064114,2.073655260997533
1.0,1.0,1.0,1.0,16,2022-06-16,Wastewater,0.31706986846038543,2.0724974241782643
1.0,1.0,1.0,1.0,17,2022-06-17,Wastewater,0.31367044704807556,2.0667434313421937
1.0,1.0,1.0,1.0,18,2022-06-18,Wastewater,0.31711289207328974,2.0701932622702715
